"","V1","V2"
"458",11.7520768,46.5020676
"459",11.7530014,46.5018315
"460",11.7530808,46.5017785
"461",11.7535983,46.5016478
"462",11.7543196,46.501306
"463",11.7561117,46.5004567
"464",11.7564485,46.5001528
"465",11.756747,46.4998675
"466",11.7571276,46.4996917
"467",11.7573766,46.4995838
"468",11.7576528,46.4994945
"469",11.7579882,46.4994387
"470",11.7591881,46.4992698
"471",11.7602246,46.4989147
"472",11.7614966,46.4985595
"473",11.7629756,46.4977632
"474",11.7643086,46.497177
"475",11.7687458,46.4955002
"476",11.7693784,46.4952362
"477",11.7702041,46.4947126
"478",11.7704036,46.4944878
"479",11.7704902,46.4942348
"480",11.7705006,46.4938814
"481",11.7705328,46.4936081
"482",11.7706572,46.4932578
"483",11.7707213,46.4930542
"484",11.7707443,46.4928894
"485",11.770751,46.4926941
"486",11.770743,46.4924453
"487",11.7708222,46.4921559
"488",11.7710112,46.4919356
"489",11.7713116,46.4918027
"490",11.7717446,46.491778
"491",11.7722913,46.4918217
"492",11.7727969,46.4918167
"493",11.7732945,46.4917907
"494",11.7736868,46.4917933
"495",11.7740295,46.4918136
"496",11.7743139,46.491883
"497",11.7749058,46.4922089
"498",11.7754331,46.4923236
"499",11.7762677,46.4922719
"500",11.7772891,46.4917628
"501",11.7781102,46.4913413
"502",11.7787379,46.4912696
"503",11.7797982,46.4913103
"504",11.7803399,46.4913817
"505",11.8029187,46.4825292
"506",11.8017353,46.482937
"507",11.8000865,46.4830888
"508",11.7987585,46.4834355
"509",11.7983643,46.4835384
"510",11.7964203,46.4839376
"511",11.7964203,46.4839376
"512",11.7963245,46.4839724
"513",11.801763,46.4746898
"514",11.8019317,46.4746562
"515",11.8021921,46.4746771
"516",11.8025326,46.4747301
"517",11.8027074,46.4748121
"518",11.8027149,46.4749296
"519",11.8025768,46.4752301
"520",11.8023823,46.4755281
"521",11.8021486,46.4757757
"522",11.8002664,46.4779467
"523",11.7996968,46.4786036
"524",11.7988633,46.4797246
"525",11.7981893,46.4804202
"526",11.7977891,46.4808067
"527",11.7973183,46.4812613
"528",11.7963511,46.4819974
"529",11.7956016,46.4823617
"530",11.7945749,46.4826789
"531",11.7940997,46.4826797
"532",11.7936236,46.4825818
"533",11.792602,46.4824244
"534",11.7905052,46.4820199
"535",11.7888111,46.4809193
"536",11.8032475,46.4748991
"537",11.8036805,46.4747966
"538",11.8040152,46.4748175
"539",11.8042706,46.474937
"540",11.8046253,46.475188
"541",11.8050002,46.4753951
"542",11.8062662,46.4758975
"543",11.8063949,46.4759862
"544",11.80647,46.476097
"545",11.8064915,46.4762522
"546",11.8065021,46.4764912
"547",11.8064058,46.4771172
"548",11.8122496,46.4782726
"549",11.8123857,46.4783083
"550",11.8125107,46.4782741
"551",11.8127129,46.4782041
"552",11.813294,46.4782388
"553",11.81357,46.4782223
"554",11.813803,46.4781877
"555",11.8143117,46.4780246
"556",11.8149063,46.4777851
"557",11.8152333,46.477762
"558",11.8154667,46.4780266
"559",11.8163677,46.4792902
"560",11.8172588,46.4802833
"561",11.8179004,46.4809839
"562",11.8184639,46.4813226
"563",11.8207064,46.4826715
"564",11.8209003,46.4827874
"565",11.8210368,46.4829707
"566",11.8678182,46.5256092
"567",11.8678964,46.5253093
"568",11.7825844,46.4910859
"569",11.7825412,46.4910569
"570",11.7824555,46.4909995
"571",11.7823593,46.4908335
"572",11.8210368,46.4829707
"573",11.8211914,46.4832573
"574",11.8211914,46.4832573
"575",11.8215926,46.4838101
"576",11.8222736,46.4843665
"577",11.8232057,46.4848638
"578",11.7817748,46.4914244
"579",11.7814095,46.4915245
"580",11.781757,46.4913514
"581",11.7820004,46.491276
"582",11.7820004,46.491276
"583",11.7822263,46.491179
"584",11.7822734,46.4909553
"585",11.7823593,46.4908335
"586",11.7825837,46.4907521
"587",11.782741,46.4906873
"588",11.7828699,46.4906817
"589",11.7829415,46.490651
"590",11.7820457,46.4913219
"591",11.7817748,46.4914244
"592",11.8456806,46.4876298
"593",11.8454046,46.4877638
"594",11.8454046,46.4877638
"595",11.8446804,46.4880106
"596",11.8443723,46.4880259
"597",11.8131781,46.4787553
"598",11.8130317,46.4786655
"599",11.8127719,46.4787146
"600",11.8133032,46.479117
"601",11.8134351,46.4794874
"602",11.8138665,46.4802705
"603",11.814838,46.4813355
"604",11.8167606,46.4824867
"605",11.8177597,46.4832898
"606",11.8181145,46.483575
"607",11.8181145,46.483575
"608",11.8184261,46.4838428
"609",11.8184261,46.4838428
"610",11.8198536,46.4850308
"611",11.8206393,46.4854004
"612",11.8211133,46.4856356
"613",11.8213447,46.4858371
"614",11.8215924,46.4861475
"615",11.8217858,46.4863206
"616",11.8225266,46.4865522
"617",11.8003832,46.554083
"618",11.8004788,46.554058
"619",11.8008626,46.5540484
"620",11.8013035,46.5542031
"621",11.8016471,46.5544327
"622",11.8019986,46.5544981
"623",11.8022892,46.5544793
"624",11.8031029,46.554234
"625",11.803427,46.5541614
"626",11.8039055,46.5541704
"627",11.8041371,46.5540603
"628",11.8043297,46.5538053
"629",11.7657692,46.5328164
"630",11.7671415,46.5331644
"631",11.7681032,46.5335522
"632",11.7689776,46.5339632
"633",11.7697239,46.5342141
"634",11.7700573,46.5343583
"635",11.7701893,46.5345221
"636",11.7702842,46.5346163
"637",11.7703492,46.5347195
"638",11.7704068,46.5348269
"639",11.7703914,46.5352031
"640",11.7702409,46.5357831
"641",11.7701024,46.536503
"642",11.7699731,46.5368425
"643",11.7697778,46.5371701
"644",11.769567,46.537597
"645",11.7694653,46.5380301
"646",11.7694413,46.5383052
"647",11.7695543,46.5385273
"648",11.7698662,46.538935
"649",11.7701085,46.539358
"650",11.7701869,46.5396793
"651",11.7701521,46.5401614
"652",11.7700414,46.540609
"653",11.7698951,46.541144
"654",11.7698445,46.541602
"655",11.7697206,46.5424441
"656",11.769572,46.5429535
"657",11.7693965,46.543511
"658",11.7693,46.5437917
